task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2025-01-05T00:48:52,grocerynet50 inference,4edfe6c2-612a-4ba3-abef-1b574056c897,1.4376618657261133,1.2344199942200775e-05,8.57473262515986e-06,62.5,0.0,141.1991457939148,2.4990605177461274e-05,0,5.6408669086968494e-05,8.139927426442977e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
load label binarizer,2025-01-05T00:48:53,grocerynet50 inference,4edfe6c2-612a-4ba3-abef-1b574056c897,0.36854575015604496,3.159060206682279e-06,8.573634365633032e-06,62.5,0.0,141.1991457939148,6.3953898239156424e-06,0,1.4435867720972447e-05,2.083125754488809e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
load and preprocess image,2025-01-05T00:48:53,grocerynet50 inference,4edfe6c2-612a-4ba3-abef-1b574056c897,0.007397856563329697,5.728525794211796e-08,8.202609083859248e-06,62.5,0.0,141.1991457939148,1.1946440079352663e-07,0,2.5828210723231925e-07,3.777465080258459e-07,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
perform prediction,2025-01-05T00:48:54,grocerynet50 inference,4edfe6c2-612a-4ba3-abef-1b574056c897,1.4339657668024302,1.2264510198457856e-05,8.57276782024816e-06,62.5,0.0,141.1991457939148,2.483040747594916e-05,0,5.60433821610957e-05,8.087378963704486e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
process predictions,2025-01-05T00:48:54,grocerynet50 inference,4edfe6c2-612a-4ba3-abef-1b574056c897,0.003825100138783455,2.8539716997392616e-08,7.129473452528434e-06,62.5,0.0,141.1991457939148,6.560333228359475e-08,0,1.225913066705349e-07,1.8819463895412966e-07,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
