task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load or create data,2024-12-27T15:13:50,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,1.156645830720663,9.941730553533619e-06,8.576693538087646e-06,62.5,0.0,141.1991457939148,2.012177512774037e-05,0,4.5435300728069835e-05,6.555707585581021e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
train-test split,2024-12-27T15:13:52,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,1.4611236415803432,1.2536520097316876e-05,8.578602209462557e-06,62.5,0.0,141.1991457939148,2.5369368247791293e-05,0,5.7298090356342396e-05,8.26674586041337e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
build model,2024-12-27T15:13:53,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,1.4117894433438778,1.2108480568927853e-05,8.578461102676305e-06,62.5,0.0,141.1991457939148,2.45033602631237e-05,0,5.534154952209128e-05,7.984490978521497e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
setup data generator,2024-12-27T15:13:53,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,0.0016856323927640915,1.2726092443039836e-08,7.331083079932813e-06,62.5,0.0,141.1991457939148,2.8779193396783116e-08,0,5.51383301313651e-08,8.391752352816177e-08,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
train model,2024-12-27T15:29:11,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,917.5101965293288,0.007872940446888589,8.580809348921027e-06,62.5,0.0,141.1991457939148,0.015928908189784527,0,0.03598629422952696,0.05191520241931149,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
plot history,2024-12-27T15:29:11,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,0.39560550451278687,3.404719243392529e-06,8.572464426182352e-06,62.5,0.0,141.1991457939148,6.893252009629314e-06,0,1.555791345950186e-05,2.2451165469131174e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
evaluate model,2024-12-27T15:29:51,ResNet50 Fine-tuning,e7c0a1ae-dbfd-4ffc-b24b-1c1f3dda14d6,39.75165436603129,0.00034109501057495543,8.580664929333008e-06,62.5,0.0,141.1991457939148,0.000690129589444647,0,0.0015590956698692676,0.002249225259313918,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
