task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2025-01-05T00:49:35,grocerynet50 inference,2d1d39da-1756-4a04-952b-2f385d76d7a0,1.3521201871335506,1.1626839085098055e-05,8.577097862771578e-06,62.5,0.0,141.1991457939148,2.353256348417037e-05,0,5.31363391541287e-05,7.666890263829907e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
load label binarizer,2025-01-05T00:49:35,grocerynet50 inference,2d1d39da-1756-4a04-952b-2f385d76d7a0,0.325181445106864,2.7848933546963242e-06,8.571627709429287e-06,62.5,0.0,141.1991457939148,5.638827440432377e-06,0,1.2725124783084423e-05,1.8363952223516807e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
load and preprocess image,2025-01-05T00:49:35,grocerynet50 inference,2d1d39da-1756-4a04-952b-2f385d76d7a0,0.007499599829316139,5.95761954010832e-08,8.135636569972476e-06,62.5,0.0,141.1991457939148,1.2552417400810582e-07,0,2.6732907624631716e-07,3.928532502544196e-07,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
perform prediction,2025-01-05T00:49:37,grocerynet50 inference,2d1d39da-1756-4a04-952b-2f385d76d7a0,1.4990284871309996,1.2832873943342562e-05,8.576525172005442e-06,62.5,0.0,141.1991457939148,2.597368933493272e-05,0,5.8647965418397754e-05,8.462165475333045e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
process predictions,2025-01-05T00:49:37,grocerynet50 inference,2d1d39da-1756-4a04-952b-2f385d76d7a0,0.003215065225958824,3.726835989293847e-08,7.608230046077664e-06,62.5,0.0,141.1991457939148,8.167863901084002e-08,0,1.6407381659704783e-07,2.4575245560789463e-07,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
