task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load or create data,2024-12-27T15:37:46,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,1.0720673706382513,9.223971201802162e-06,8.576358198575397e-06,62.5,0.0,141.1991457939148,1.866998238256201e-05,0,4.215409412124386e-05,6.082407650380587e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
train-test split,2024-12-27T15:37:47,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,1.6003571525216103,1.3732756171117128e-05,8.57871279120652e-06,62.5,0.0,141.1991457939148,2.7790066475669543e-05,0,6.276552977304214e-05,9.055559624871168e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
build model,2024-12-27T15:37:49,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,1.3920097425580025,1.1940735145671352e-05,8.578529127917166e-06,62.5,0.0,141.1991457939148,2.4163974384363328e-05,0,5.457480006780516e-05,7.873877445216848e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
setup data generator,2024-12-27T15:37:49,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,0.0016435403376817703,1.2685769485373008e-08,7.376901066503015e-06,62.5,0.0,141.1991457939148,2.848721730212768e-08,0,5.516441135185461e-08,8.36516286539823e-08,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
train model,2024-12-27T16:08:09,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,1819.9967267606407,0.015617037777644689,8.580819170430293e-06,62.5,0.0,141.1991457939148,0.031597108529596074,0,0.07138368789404183,0.1029807964236379,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
plot history,2024-12-27T16:08:09,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,0.33102972246706486,2.849297034358128e-06,8.573031150454617e-06,62.5,0.0,141.1991457939148,5.76874014869555e-06,0,1.3019898389768358e-05,1.878863853846391e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
evaluate model,2024-12-27T16:08:48,ResNet50 Fine-tuning,bc4485d1-7037-4928-b690-882538aacbdc,39.09950523637235,0.0003354966625036225,8.580737243906e-06,62.5,0.0,141.1991457939148,0.000678796767541727,0,0.0015335122499566117,0.0022123090174983318,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
