task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2025-01-05T00:49:17,grocerynet50 inference,60de098f-2fc5-4aae-9162-3e307a4e01ef,1.4743688460439444,1.2661572430495226e-05,8.577673190452916e-06,62.5,0.0,141.1991457939148,2.562525294100245e-05,0,5.786681715787804e-05,8.349207009888048e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
load label binarizer,2025-01-05T00:49:17,grocerynet50 inference,60de098f-2fc5-4aae-9162-3e307a4e01ef,0.41467168368399143,3.5507208278991246e-06,8.573583311455069e-06,62.5,0.0,141.1991457939148,7.18818033217556e-06,0,1.6225738743980873e-05,2.3413919076156436e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
load and preprocess image,2025-01-05T00:49:17,grocerynet50 inference,60de098f-2fc5-4aae-9162-3e307a4e01ef,0.009217413142323494,6.499592765368196e-08,8.18394226413363e-06,62.5,0.0,141.1991457939148,1.359516884096761e-07,0,2.9263998751306126e-07,4.2859167592273735e-07,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
perform prediction,2025-01-05T00:49:19,grocerynet50 inference,60de098f-2fc5-4aae-9162-3e307a4e01ef,1.620478754863143,1.3874936421098662e-05,8.574321824954769e-06,62.5,0.0,141.1991457939148,2.8089224069844935e-05,0,6.340392740459397e-05,9.149315147443891e-05,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
process predictions,2025-01-05T00:49:19,grocerynet50 inference,60de098f-2fc5-4aae-9162-3e307a4e01ef,0.004273541271686554,2.8744539785717217e-08,7.536364115288324e-06,62.5,0.0,141.1991457939148,6.346061127260978e-08,0,1.2608465602525066e-07,1.8954526729786044e-07,Denmark,DNK,capital region,,,Linux-5.15.156.el8-x86_64-with-glibc2.39,3.12.3,2.8.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.6014,55.6482,376.53105545043945,machine,N
